frequency_kHz,TS_dB,model,bubble_diameter_m
1.451235469387174,-79.0396365156563,Modal,
1.4563918674904262,-78.9711155976524,Modal,
1.4615665868392376,-78.9025399568461,Modal,
1.4667596925309945,-78.8339091152554,Modal,
1.4719712498943816,-78.7652225899862,Modal,
1.477201324490203,-78.6964798932267,Modal,
1.4824499821122077,-78.6276805321529,Modal,
1.4877172887879169,-78.5588240088593,Modal,
1.4930033107794551,-78.4899098203173,Modal,
1.4983081145843835,-78.4209374582935,Modal,
1.503631766936536,-78.3519064092957,Modal,
1.5089743348068587,-78.2828161544899,Modal,
1.514335885404254,-78.2136661696583,Modal,
1.5197164861764239,-78.1444559250863,Modal,
1.5251162048107196,-78.0751848855474,Modal,
1.530535109234993,-78.0058525101707,Modal,
1.5359732676184512,-77.9364582524338,Modal,
1.5414307483725138,-77.867001560033,Modal,
1.5469076201516736,-77.7974818748214,Modal,
1.5524039518543602,-77.7278986327738,Modal,
1.557919812623807,-77.6582512638375,Modal,
1.5634552718489212,-77.5885391919251,Modal,
1.5690103991651556,-77.5187618347876,Modal,
1.574585264455386,-77.4489186039333,Modal,
1.5801799378507893,-77.3790089045803,Modal,
1.5857944897317267,-77.3090321355359,Modal,
1.5914289907286276,-77.2389876891229,Modal,
1.5970835117228797,-77.1688749511139,Modal,
1.60275812384772,-77.0986933005983,Modal,
1.6084528984891295,-77.0284421099275,Modal,
1.6141679072867312,-76.9581207446157,Modal,
1.6199032221346918,-76.8877285632457,Modal,
1.6256589151826257,-76.8172649173612,Modal,
1.6314350588365032,-76.7467291513863,Modal,
1.6372317257595599,-76.67612060254,Modal,
1.6430489888732125,-76.6054386006822,Modal,
1.6488869213579755,-76.5346824682868,Modal,
1.6547455966543818,-76.4638515202842,Modal,
1.6606250884639062,-76.3929450639671,Modal,
1.666525470749893,-76.321962398904,Modal,
1.6724468177384864,-76.2509028168032,Modal,
1.6783892039195645,-76.1797656014348,Modal,
1.6843527040476753,-76.1085500284739,Modal,
1.6903373931429784,-76.0372553654276,Modal,
1.6963433464921884,-75.9658808714964,Modal,
1.7023706396495215,-75.8944257974673,Modal,
1.7084193484376462,-75.8228893855827,Modal,
1.7144895489486376,-75.7512708694118,Modal,
1.7205813175449338,-75.6795694737559,Modal,
1.7266947308602973,-75.6077844144873,Modal,
1.7328298658007788,-75.5359148984327,Modal,
1.738986799545684,-75.4639601232478,Modal,
1.745165609548546,-75.3919192772744,Modal,
1.751366373538098,-75.3197915394017,Modal,
1.7575891695192523,-75.2475760789403,Modal,
1.763834075774081,-75.1752720554549,Modal,
1.770101170862801,-75.102878618654,Modal,
1.776390533624762,-75.0303949082118,Modal,
1.7827022431794393,-74.9578200536386,Modal,
1.7890363789274273,-74.8851531741122,Modal,
1.79539302055144,-74.8123933783366,Modal,
1.8017722480173126,-74.739539764366,Modal,
1.8081741415750077,-74.6665914194718,Modal,
1.8145987817596247,-74.5935474199442,Modal,
1.8210462493924133,-74.5204068309444,Modal,
1.8275166255817896,-74.4471687063345,Modal,
1.8340099917243569,-74.3738320884871,Modal,
1.8405264295059294,-74.300396008123,Modal,
1.8470660209025598,-74.226859484123,Modal,
1.8536288481815713,-74.1532215233556,Modal,
1.860214993902591,-74.0794811204575,Modal,
1.8668245409185902,-74.0056372576799,Modal,
1.8734575723769251,-73.9316889046665,Modal,
1.8801141717203842,-73.8576350182602,Modal,
1.8867944226882372,-73.7834745423038,Modal,
1.893498409317288,-73.7092064074253,Modal,
1.900226215942933,-73.6348295308419,Modal,
1.9069779272002216,-73.5603428161125,Modal,
1.9137536280249203,-73.4857451529475,Modal,
1.9205534036545817,-73.4110354169745,Modal,
1.927377339629617,-73.3362124694987,Modal,
1.9342255217943718,-73.2612751572788,Modal,
1.9410980362982062,-73.1862223122867,Modal,
1.9479949695965775,-73.1110527514603,Modal,
1.9549164084521298,-73.0357652764512,Modal,
1.9618624399357838,-72.9603586733861,Modal,
1.9688331514278328,-72.8848317125811,Modal,
1.9758286306190413,-72.8091831483027,Modal,
1.9828489655117496,-72.7334117184801,Modal,
1.9898942444209795,-72.657516144429,Modal,
1.9969645559755458,-72.5814951305809,Modal,
2.0040599891191704,-72.5053473641883,Modal,
2.011180633111603,-72.4290715150239,Modal,
2.018326577529743,-72.3526662350866,Modal,
2.025497912268765,-72.2761301582987,Modal,
2.0326947275432525,-72.1994619001734,Modal,
2.03991711388833,-72.1226600575146,Modal,
2.047165162160804,-72.0457232080858,Modal,
2.0544389635403055,-71.9686499102509,Modal,
2.061738609530435,-71.8914387026641,Modal,
2.0690641919599173,-71.8140881039034,Modal,
2.0764158029837536,-71.7365966121111,Modal,
2.0837935350843813,-71.6589627046341,Modal,
2.0911974810728395,-71.5811848376359,Modal,
2.0986277340899346,-71.5032614457335,Modal,
2.1060843876074116,-71.4251909415999,Modal,
2.1135675354291314,-71.3469717155492,Modal,
2.1210772716922506,-71.2686021351415,Modal,
